Date,Open,High,Low,Close,Adj Close,Volume
2022-05-01,0.999779,1.002559,0.997579,1.001649,1.001649,566644085
2022-05-02,1.001566,1.002737,0.998047,1.001400,1.001400,574239251
2022-05-03,0.998947,1.002383,0.998086,1.000244,1.000244,453049346
2022-05-04,1.000025,1.002482,0.996594,0.999365,0.999365,612280607
2022-05-05,1.000741,1.003327,0.997857,0.999546,0.999546,733858936
2022-05-06,0.999828,1.002500,0.998088,0.999624,0.999624,649583067
2022-05-07,0.999887,1.002461,0.992732,0.996868,0.996868,1335178681
2022-05-08,0.996907,0.999651,0.990503,0.996401,0.996401,2025913193
2022-05-09,0.995427,0.999014,0.793393,0.793393,0.793393,2809970941
2022-05-10,0.805948,0.948554,0.684081,0.799919,0.799919,4905955011
2022-05-11,0.799372,0.847420,0.299838,0.801137,0.801137,7679819164
2022-05-12,0.801058,0.829403,0.362599,0.408584,0.408584,9392162783
2022-05-13,0.405539,0.406917,0.133137,0.154002,0.154002,1285921756
2022-05-14,0.161857,0.255240,0.148268,0.196442,0.196442,376460753
2022-05-15,0.195970,0.261274,0.170348,0.176657,0.176657,335182962
2022-05-16,0.176645,0.186560,0.094398,0.126434,0.126434,389081589
2022-05-17,0.126539,0.156225,0.107773,0.130309,0.130309,264405278
2022-05-18,0.130311,0.314155,0.087842,0.090961,0.090961,173247622
2022-05-19,0.090992,0.115120,0.076013,0.076013,0.076013,102877377
2022-05-20,0.076063,0.091723,0.061305,0.066265,0.066265,59116609
2022-05-21,0.066214,0.066214,0.050864,0.056482,0.056482,45170671
2022-05-22,0.057528,0.073460,0.051067,0.064290,0.064290,78643835
2022-05-23,0.064277,0.082409,0.054462,0.071370,0.071370,90652769
2022-05-24,0.071222,0.092502,0.061709,0.070003,0.070003,59529498
2022-05-25,0.069608,0.322060,0.067550,0.094631,0.094631,174553602
2022-05-26,0.094732,0.534733,0.048005,0.063919,0.063919,117938243
2022-05-27,0.063992,0.064005,0.032765,0.034802,0.034802,27457468
2022-05-28,0.040065,0.040734,0.018463,0.028786,0.028786,21456925
2022-05-29,0.028661,0.031145,0.023304,0.026768,0.026768,14038646
2022-05-30,0.026766,0.033008,0.025013,0.025113,0.025113,32885588
2022-05-31,0.025050,0.026282,0.020854,0.021439,0.021439,28291420
